Date,selected_ma_short,selected_ma_long,predicted_return,actual_return,signal,position,equity,strategy_return
2024-08-19,50,200,-0.000197826922207475,0.007757511679931106,1,1,3.808199896478664,0.007757511679931106
2024-08-20,50,200,-0.00020915851351317163,-0.0015535545209967028,1,1,3.80228365031263,-0.0015535545209967028
2024-08-21,50,200,-0.0002221643724153986,-0.020252835250953782,1,1,3.7252766259654533,-0.020252835250953782
2024-08-22,50,200,-0.0002354279747481454,0.002983981945775094,1,1,3.736392784160352,0.002983981945775094
2024-08-23,50,200,-0.00010742908444302964,-0.007917721153188229,1,1,3.706809067976586,-0.007917721153188229
2024-08-26,50,200,-0.00027801600035746554,0.0008465224228615398,1,1,3.7099469649698946,0.0008465224228615398
2024-08-27,50,200,-0.00029862781992297374,-0.007829087404414126,1,1,3.6809014659154045,-0.007829087404414126
2024-08-28,50,200,-0.0003708266449606516,0.006137214937038227,1,1,3.7034919493737863,0.006137214937038227
2024-08-29,50,200,-0.00026784956932815305,0.009730939373465697,1,1,3.739530405003261,0.009730939373465697
2024-08-30,50,200,-0.0001534941653593832,-0.018458984743654483,1,1,3.6705024703088736,-0.018458984743654483
2024-09-03,50,200,-0.00021601370400548589,-0.0013188702495748883,1,1,3.665661553799792,-0.0013188702495748883
2024-09-04,50,200,-9.315389301961735e-05,-0.0012473115979035887,1,1,3.661089331629748,-0.0012473115979035887
2024-09-05,50,200,-0.00017811119192264613,-0.016381406216151473,1,1,3.601115540094703,-0.016381406216151473
2024-09-06,50,200,-0.0003791773479167542,0.010007581047656977,1,1,3.6371539957241774,0.010007581047656977
2024-09-09,50,200,-0.0003639722343186706,0.02090112632248764,1,1,3.713174610843149,0.02090112632248764
2024-09-10,50,200,-0.00024490410510367636,0.021342305977211096,1,1,3.792422319534575,0.021342305977211096
2024-09-11,50,200,-0.00010076186463432935,0.009360761897993397,1,1,3.827922281884374,0.009360761897993397
2024-09-12,50,200,-0.0001246214969107466,0.008407464291975142,1,1,3.860105401781773,0.008407464291975142
